id,amount,merchant_name,payment_method,transaction_time,device_id,location,sender,receiver,is_fraud,fraud_type
c473d1f2-8d0a-4852-a55b-6fce1427873b,151000.0,Toko Buah Bu Lastri,BCA,2024-04-10T02:58:02.001437,ANDROID-9787497C,Semarang,Sari Rahayu,Toko Elektronik Mas Dedi,0,
655ce331-4d3e-4c49-a451-1d416e4e1c5e,1297000.0,Toko Baju Murah Pak Rahmat,Mandiri,2024-03-25T10:02:13.604666,WEB-F38A5F1A,Medan,Kartini Lestari,Bengkel Las Pak Slamet,0,
22ee4027-9cfa-401b-94d6-cb06fd75b39c,73731000.0,Kios Pulsa Mas Feri,OVO,2024-04-16T02:11:12.687405,IOS-CCEE42FA,Makassar,Citra Wibowo,Jasa Print Pak Hendra,1,amount_anomaly
4c897321-e299-4402-869f-bd79afd131cb,1438000.0,Kios Pulsa Mas Feri,BCA,2024-01-17T18:14:15.504594,IOS-7AD46EB3,Surabaya,Yanto Santoso,Bakso Pak Soleh,0,
6feacf9c-e27b-4b33-a270-ca904919b089,64000.0,Kios Pulsa Mas Feri,Mandiri,2024-08-19T15:12:17.272717,ANDROID-2321C0D9,Jakarta Utara,Joko Hidayat,Supermarket Berkah Jaya,0,
dcca0355-10ac-40b4-b51e-d10efea3f076,415000.0,Jasa Print Pak Hendra,ShopeePay,2024-09-02T22:54:29.160681,ANDROID-CD610306,Tangerang,Zahra Firmansyah,Warung Kopi Mas Rizky,0,
1acb0372-7118-4a3b-9c0d-a6d505cc45ed,3856000.0,Toko Baju Murah Pak Rahmat,ShopeePay,2024-10-07T18:00:27.709974,IOS-8C30BC10,Jakarta Utara,Joko Saputra,Toko Baju Murah Pak Rahmat,0,
547a8b72-963f-4ae4-b84b-58589f34483a,1074000.0,FAKE-Warung Pak Budi,BNI,2024-06-23T01:18:35.892630,WEB-EFBD6824,Jakarta Utara,Wahyu Ariani,Warung Makan Bu Tini,1,invoice_manipulation
5acb6e09-ccd1-4da1-a252-8a4938a6b3ef,1446000.0,Bakso Pak Soleh,Dana,2024-12-19T16:24:48.725923,ANDROID-4AC9F224,Tangerang,Xena Firmansyah,Warung Kopi Mas Rizky,0,
311cb071-4cbb-4a3c-ac6f-bfad1cb46de1,3738000.0,Bengkel Las Pak Slamet,QRIS,2024-08-29T13:59:33.693679,WEB-AD6FA678,Surabaya,Joko Susanto,Toko Online Bu Sari,0,
674b7426-f6d3-4747-bbc1-a6e6d92a3f21,372000.0,Bakso Pak Soleh,GoPay,2024-10-11T19:47:40.818913,IOS-21D33083,Depok,Tono Wijaya,Jasa Print Pak Hendra,0,
3b962907-2062-48db-8aa9-fd781124baa0,60000.0,Warung Makan Bu Tini,Mandiri,2024-04-08T05:53:21.509466,WEB-7856B525,Makassar,Wahyu Kusuma,Salon Cantik Bu Dewi,1,duplicate
86b429fb-7167-4668-ba47-91dd4549b3ec,141000.0,Laundry Kilat Bu Wati,GoPay,2024-09-10T14:42:41.651387,IOS-B9762C7C,Jakarta Utara,Mira Suharto,Kios Pulsa Mas Feri,0,
175f6c7f-4b40-4d98-afd4-0b5ec3e31eb3,11000.0,Supermarket Berkah Jaya,GoPay,2024-05-29T07:44:42.479016,IOS-ABA9830F,Surabaya,Tono Ariani,Bengkel Motor Mas Agus,0,
75c0e5cb-5643-446c-bbfa-8614a5a705b8,4886000.0,Toko Elektronik Mas Dedi,QRIS,2024-12-06T19:09:43.447194,ANDROID-9F78C4C8,Jakarta Timur,Putri Hidayat,Konter HP Bu Nurul,0,
1acc7deb-e746-4ba1-8b39-b951898243b6,275000.0,Toko Elektronik Mas Dedi,ShopeePay,2024-09-08T11:49:47.378238,WEB-969DC1F2,Medan,Irwan Wijaya,Supermarket Berkah Jaya,0,
7871ceba-ba11-48d8-abd8-91524296ca50,273000.0,Bengkel Motor Mas Agus,QRIS,2024-10-12T21:58:51.816885,WEB-6EEC3514,Jakarta Selatan,Budi Rahayu,Toko Elektronik Mas Dedi,0,
36244805-de3e-4687-b762-38f9ac94d032,422000.0,Bakso Pak Soleh,LinkAja,2024-05-09T12:05:18.955647,ANDROID-CE32B018,Palembang,Fajar Wibowo,Bakso Pak Soleh,0,
affdaaa4-3d9f-43c1-9b1d-ef757381de00,346000.0,Warung Pak Budi,BNI,2024-04-28T17:34:22.198784,ANDROID-6DBD1701,Surabaya,Kartini Firmansyah,Laundry Kilat Bu Wati,0,
147836ae-8afe-490b-8ce4-e1a746bb90c0,963000.0,Kios Pulsa Mas Feri,Dana,2024-01-10T16:26:40.805986,IOS-EB261123,Tangerang,Citra Lestari,Minimarket Bu Endah,0,
5d6aff9d-2ab7-4c7b-8d9d-d57f5f763bda,30000.0,Laundry Kilat Bu Wati,QRIS,2024-12-24T11:41:55.275087,WEB-3D08BDC4,Bekasi,Joko Santoso,Minimarket Bu Endah,0,
dd42dabb-91e9-4b03-8d54-bbc35de21edd,3377000.0,Apotek Sehat Sejahtera,Mandiri,2024-10-24T19:16:41.025534,IOS-E401F7D2,Makassar,Citra Handoko,Jasa Print Pak Hendra,0,
6bc7bf2b-a43a-495a-9451-6cf81f06d7b5,81000.0,Warung Makan Bu Tini,ShopeePay,2024-02-17T09:36:59.495252,ANDROID-F2777903,Makassar,Joko Purnama,Toko Sembako Bu Yanti,0,
d67320a6-679c-4340-bee9-f9ae8addcc26,48000.0,Bakso Pak Soleh,BCA,2024-03-02T19:40:07.686480,WEB-24BB5076,Makassar,Putri Santoso,Konter HP Bu Nurul,1,duplicate
a432d86d-f333-4ebf-b1ec-bf415c647e64,490000.0,Jasa Print Pak Hendra,ShopeePay,2024-03-01T20:39:15.944946,ANDROID-53538CA2,Jakarta Timur,Gilang Lestari,Minimarket Bu Endah,0,
c9e891eb-5e4b-4ac9-9b77-aa0dcd252bb8,421000.0,Toko Buah Bu Lastri,GoPay,2024-08-24T18:47:56.178086,ANDROID-930C9D82,Surabaya,Reza Lestari,Laundry Kilat Bu Wati,0,
65099a85-c498-4c8f-9377-fe61d0a2974c,630000.0,Salon Cantik Bu Dewi,Dana,2024-08-08T12:51:04.355067,ANDROID-279510D4,Semarang,Tono Purnama,Toko Buah Bu Lastri,0,
d12ecd3f-328f-4e31-acb9-15e671e00aa0,332000.0,Toko Baju Murah Pak Rahmat,LinkAja,2024-04-10T09:11:27.783421,WEB-354C77AC,Tangerang,Reza Hidayat,Toko Alat Tulis Mas Erwan,0,
56bfd881-c3d5-4cb2-84a8-37889b26b2d7,96000.0,Toko Buah Bu Lastri,Mandiri,2024-06-01T22:18:00.809604,WEB-FCCE8E70,Bandung,Vina Purnama,Toko Elektronik Mas Dedi,0,
4dc53fff-b04d-46b7-88cb-a02c5ac0e5ac,18000.0,Toko Sembako Bu Yanti,QRIS,2024-11-01T02:20:47.320468,WEB-335AB8F7,Palembang,Andi Prasetyo,Bengkel Las Pak Slamet,1,suspicious_pattern
